序号,性别（0=男）,新冠疫情是否让你焦虑（0=是）,消极or积极or二者之间（0=消极）,新冠疫情让您的家庭收入产生损失（0=是）,新冠疫情使您的报考学校扩大招生（0=是）,新冠疫情使您的备考过程更加困难（0=是）,新冠疫情期间，您是否坚持考研到最后（0=是）,测试集属性条件下坚持考研概率,测试集属性条件下放弃考研概率
436,0,0,0,0,1,1,0,0.002279165773141446,0.007631046051637419
437,0,0,1,1,0,0,1,0.005218753336913841,0.0025438727690264627
438,1,0,0,0,1,1,1,0.0027550355499511986,0.005573981463804724
439,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
440,0,0,2,0,1,0,1,0.0005010931841658499,0.010365429140978571
441,1,0,0,0,0,0,1,0.004343815831887062,0.05009305875474409
442,1,1,2,1,0,1,0,0.0049780571927398425,5.391319505068808e-05
443,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
444,0,0,1,1,0,1,0,0.006060487746093493,0.0003161875758111988
445,1,0,0,0,0,0,1,0.004343815831887062,0.05009305875474409
446,0,1,0,0,1,0,1,0.004612145182593177,0.010473304647875633
447,0,0,0,0,1,0,1,0.0019626149713162454,0.06139523414271923
448,1,0,0,0,1,0,1,0.002372391723569088,0.0448452145042471
449,1,0,0,1,1,0,0,0.0039019600716596837,0.013482874948989322
450,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
451,1,0,2,1,1,1,0,0.00115692982220795,0.00028293361474876705
452,0,0,1,1,0,0,0,0.005218753336913841,0.0025438727690264627
453,0,0,0,0,1,0,1,0.0019626149713162454,0.06139523414271923
454,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
455,0,1,0,1,0,0,1,0.013889429061738163,0.0035173175809511408
456,0,0,2,1,1,1,0,0.0009570964892811223,0.0003873495916203359
457,0,0,2,1,0,0,1,0.0015090371094690625,0.0034810890523520022
458,0,0,2,1,1,0,1,0.0008241664213254108,0.0031164035325817927
459,0,1,0,1,0,0,0,0.013889429061738163,0.0035173175809511408
460,0,0,0,0,0,0,1,0.0035935203700156603,0.06857978281899488
461,0,0,0,0,1,0,1,0.0019626149713162454,0.06139523414271923
462,0,0,0,1,1,0,1,0.003227985150191193,0.01845869784683062
463,0,0,0,1,0,0,1,0.005910395345420494,0.02061875823316186
464,1,0,0,0,0,1,1,0.00504443128864304,0.00622625589042017
465,0,0,1,1,1,0,1,0.002850242207083713,0.0022773718122713095
466,0,0,2,0,0,0,1,0.00091749456255719,0.011578404891518615
467,0,0,2,1,1,0,1,0.0008241664213254108,0.0031164035325817927
