,车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱
19961,起亚K5 2014款 2.0L 自动LUXURY,7.98,20.49,2014年,9.3万公里,2.0L,自动
19962,起亚K2 2015款 两厢 1.4L AT GLS炫酷版,4.75,9.54,2016年,6.06万公里,1.4L,自动
19963,起亚 福瑞迪 2011款 1.6L AT Premium,4.1,13.33,2012年,9.2万公里,1.6L,自动
19964,起亚K2 2012款 三厢 1.4L AT GLS纪念版,5.0,9.32,2013年,6.99万公里,1.4L,自动
19965,起亚KX3 2015款 1.6L 自动两驱DLX,7.8,15.28,2016年,3.48万公里,1.6L,自动
19966,起亚 智跑 2016款 2.0L 自动两驱版GL,8.99,17.24,2018年,4.39万公里,2.0L,自动
19967,起亚K2 2012款 两厢 1.4L AT 炫酷纪念版,4.98,9.54,2015年,6.29万公里,1.4L,自动
19968,起亚K2 2015款 三厢 1.4L MT GLS,3.78,8.46,2015年,3.1万公里,1.4L,手动
19969,起亚 智跑 2012款 2.0L 自动两驱版GL,5.3,19.41,2012年,14.6万公里,2.0L,自动
19970,起亚K3 2016款 1.6L 自动GL,7.18,11.59,2018年,5.8万公里,1.6L,自动
19971,起亚KX5 2019款 1.6T 自动两驱豪华版,12.88,18.43,2019年,3.5万公里,1.6T,自动
19972,起亚K3 2016款 1.6L 自动GL,6.8,11.59,2016年,4.2万公里,1.6L,自动
19973,起亚K3 2017款 1.6L 自动15周年特别版GLS,7.7,12.9,2017年,2.81万公里,1.6L,自动
19974,起亚 索兰托 2013款 2.2T 7座柴油至尊版(进口),12.98,31.24,2013年,11.11万公里,2.2T,自动
19975,起亚K3 2016款 1.6L 自动天窗版,6.86,11.92,2017年,6.56万公里,1.6L,自动
19976,起亚K3 2016款 1.6L 自动天窗版,7.66,11.92,2018年,5万公里,1.6L,自动
19977,起亚K2 2012款 三厢 1.6L AT Premium纪念版,4.98,10.84,2014年,8.3万公里,1.6L,自动
19978,起亚 智跑 2015款 2.0L 自动两驱版GLS,8.78,18.76,2015年,7.6万公里,2.0L,自动
19979,起亚K2 2011款 三厢 1.4L AT TOP,3.35,10.08,2012年,10万公里,1.4L,自动
19980,起亚K5 2012款 2.0L 自动DLX,6.8,20.49,2013年,8.26万公里,2.0L,自动
19981,起亚KX3 2015款 1.6L 自动两驱DLX,8.5,15.28,2016年,4.44万公里,1.6L,自动
19982,起亚K2 2015款 三厢 1.4L AT GLS,5.5,9.32,2016年,8万公里,1.4L,自动
19983,起亚K2 2015款 三厢 1.6L AT Premium,6.58,11.06,2016年,3.43万公里,1.6L,自动
19984,起亚 霸锐 2013款 3.8L 豪华版 国V(进口),14.18,45.24,2014年,11.6万公里,3.8L,自动
19985,起亚K3 2017款 1.6L 自动15周年特别版GLS,7.78,12.9,2018年,4.29万公里,1.6L,自动
19986,起亚KX3 2015款 1.6L 自动两驱PRM,7.58,17.02,2016年,4.31万公里,1.6L,自动
19987,起亚K2 2017款 三厢 1.4L MT GLS,4.3,8.46,2017年,5.83万公里,1.4L,手动
19988,起亚 2015款 索兰托L 2.4L 汽油4WD精英版 7座 国IV(进口),15.38,31.02,2017年,5.83万公里,2.4L,自动
19989,起亚K3 2013款 1.6L 自动GLS,5.5,13.55,2013年,7.7万公里,1.6L,自动
19990,起亚K3 2016款 1.6L 自动GLS,7.08,12.9,2016年,5.12万公里,1.6L,自动
19991,起亚K3 2015款 1.6L 自动GL,5.98,12.24,2016年,6.83万公里,1.6L,自动
19992,起亚K5 2016款 2.0L 自动GLS,9.8,17.89,2017年,4.94万公里,2.0L,自动
19993,起亚K2 2012款 三厢 1.4L MT GL纪念版,3.48,7.91,2014年,6.73万公里,1.4L,手动
19994,起亚 狮跑 2013款 2.0L 自动两驱版GL,6.98,13.0,2016年,8万公里,2.0L,自动
19995,起亚K4 2014款 1.8L 自动GLS,6.98,16.15,2014年,6万公里,1.8L,自动
19996,起亚K5 2016款 2.0L 自动GLS,10.88,17.89,2019年,5.58万公里,2.0L,自动
19997,起亚KX CROSS 2017款 1.4L AT GLS,6.88,9.32,2018年,3.19万公里,1.4L,自动
19998,起亚K3 2016款 1.6L 自动GLS,7.8,12.9,2018年,4.46万公里,1.6L,自动
19999,起亚KX5 2016款 1.6T 自动两驱DLX,10.5,19.19,2017年,7.98万公里,1.6T,自动
20000,起亚K3 2013款 1.6L 自动GLS,5.8,13.55,2013年,10.64万公里,1.6L,自动
20001,起亚 智跑 2011款 2.0L 自动两驱版Premium,5.98,22.66,2011年,12.96万公里,2.0L,自动
20002,起亚K2 2015款 三厢 1.4L MT GLS,3.6,8.46,2015年,8万公里,1.4L,手动
20003,起亚K2 2012款 两厢 1.4L AT 炫酷纪念版,4.49,9.54,2014年,9.5万公里,1.4L,自动
20004,起亚K2 2012款 三厢 1.4L MT GL纪念版,3.08,7.91,2014年,11.64万公里,1.4L,手动
20005,起亚KX CROSS 2017款 1.4L AT GLS,6.78,9.32,2017年,3.34万公里,1.4L,自动
20006,起亚K2 2015款 三厢 1.4L AT GLS,5.38,9.32,2017年,3.9万公里,1.4L,自动
20007,起亚KX5 2016款 1.6T 自动两驱DLX,8.2,19.19,2016年,5.96万公里,1.6T,自动
20008,起亚K3 2013款 1.6L 自动GLS,5.28,13.55,2014年,4.9万公里,1.6L,自动
20009,起亚KX5 2019款 1.6T 自动两驱豪华版,13.3,18.43,2019年,0.97万公里,1.6T,自动
20010,起亚 狮跑 2013款 2.0L 手动两驱版GL,5.88,11.92,2015年,5.42万公里,2.0L,手动
20011,起亚 索兰托 2013款 2.2T 7座柴油至尊版(进口),12.98,31.24,2013年,11.11万公里,2.2T,自动
20012,起亚 智跑 2015款 2.0L 自动两驱版GLS,8.78,18.76,2015年,7.6万公里,2.0L,自动
20013,起亚K2 2011款 三厢 1.4L AT TOP,3.35,10.08,2012年,10万公里,1.4L,自动
20014,起亚K5 2016款 2.0L 自动GLS,9.8,17.89,2017年,4.94万公里,2.0L,自动
20015,起亚K2 2015款 三厢 1.4L AT GLS,5.38,9.32,2017年,3.9万公里,1.4L,自动
20016,起亚 智跑 2019款 2.0L 自动智享豪华版,11.88,15.19,2019年,3.62万公里,2.0L,自动
20017,起亚K2 2012款 两厢 1.4L AT 炫酷纪念版,4.49,9.54,2014年,9.5万公里,1.4L,自动
20018,起亚KX CROSS 2017款 1.4L AT GLS,6.78,9.32,2017年,3.34万公里,1.4L,自动
20019,起亚K2 2015款 三厢 1.4L MT GLS,3.6,8.46,2015年,8万公里,1.4L,手动
20020,起亚K3 2016款 1.6L 自动GL,5.99,11.59,2016年,6.12万公里,1.6L,自动
20021,起亚K5 2011款 2.0L 自动DLX,6.0,20.49,2012年,10.4万公里,2.0L,自动
20022,起亚 狮跑 2013款 2.0L 手动两驱版GL,5.88,11.92,2015年,5.42万公里,2.0L,手动
20023,起亚K3 2013款 1.6L 自动GLS,5.28,13.55,2014年,4.9万公里,1.6L,自动
20024,起亚K4 2015款 1.8L 自动GLS Special,7.9,16.26,2016年,5.44万公里,1.8L,自动
20025,起亚 智跑 2011款 2.0L 自动两驱版GLS,5.78,20.93,2011年,9.58万公里,2.0L,自动
20026,起亚K3 2019款 1.5L CVT新锐版,8.98,11.81,2020年,0.65万公里,1.5L,自动
20027,起亚K2 2015款 三厢 1.4L AT版,4.98,9.0,2016年,9.53万公里,1.4L,自动
20028,起亚K5 2014款 2.4L 自动LUXURY,7.8,24.84,2014年,12.46万公里,2.4L,自动
20029,起亚K3S 2014款 1.6L 自动GLS,6.28,13.55,2016年,5.6万公里,1.6L,自动
20030,起亚K4 2014款 1.8L 自动GLS,6.9,16.15,2014年,9.71万公里,1.8L,自动
20031,起亚 智跑 2015款 2.0L 自动两驱版GL,8.5,17.24,2016年,6.7万公里,2.0L,自动
20032,起亚K2 2015款 三厢 1.4L AT GLS,4.7,9.32,2015年,6万公里,1.4L,自动
20033,起亚K5 2016款 1.6T 自动LUX,9.4,19.63,2016年,6.45万公里,1.6T,自动
20034,起亚K3 2016款 1.6L 自动GL,6.38,11.59,2016年,7.33万公里,1.6L,自动
20035,起亚 狮跑 2011款 2.0L 自动两驱版GL,4.99,18.43,2012年,11万公里,2.0L,自动
20036,起亚K3S 2014款 1.6L 自动GL,5.38,12.14,2015年,7.13万公里,1.6L,自动
20037,起亚K5 2016款 2.0L 自动GLS,10.5,17.89,2017年,8.6万公里,2.0L,自动
20038,起亚K3 2016款 1.6L 自动天窗版,7.5,11.92,2018年,1.8万公里,1.6L,自动
20039,起亚K5 2012款 2.0L 自动DLX,7.18,20.49,2013年,9.76万公里,2.0L,自动
20040,起亚 KX3傲跑 2020款 1.5L CVT潮流版,10.38,13.66,2020年,0.63万公里,1.5L,自动
20041,起亚K2 2017款 三厢 1.4L AT GLS,6.38,9.65,2018年,2.8万公里,1.4L,自动
20042,起亚 智跑 2011款 2.0L 自动两驱版Premium,5.98,22.66,2011年,8.61万公里,2.0L,自动
20043,起亚 赛拉图 2010款 1.6L MT GL,2.35,9.75,2010年,10万公里,1.6L,手动
20044,起亚K3 2016款 1.6L 自动GL,6.79,11.59,2016年,3.6万公里,1.6L,自动
20045,起亚K5 2012款 2.0L 自动DLX,7.38,20.49,2013年,8.43万公里,2.0L,自动
20046,起亚K2 2012款 三厢 1.4L MT TOP纪念版,4.0,9.22,2014年,5.4万公里,1.4L,手动
20047,起亚KX CROSS 2017款 1.4L AT GLS,6.78,9.32,2018年,2.86万公里,1.4L,自动
20048,起亚 2015款 索兰托L 2.4L 汽油4WD精英版 7座 国IV(进口),14.68,31.02,2017年,5万公里,2.4L,自动
20049,起亚 狮跑 2009款 2.7L 自动四驱版GLS,4.78,25.92,2009年,9万公里,2.7L,自动
20050,起亚KX5 2016款 1.6T 自动两驱DLX,10.68,19.19,2017年,6.31万公里,1.6T,自动
20051,起亚K3 2017款 1.6L 自动15周年特别版GLS,8.06,12.9,2018年,3.88万公里,1.6L,自动
20052,起亚 赛拉图 欧风 2008款 欧风 1.6 MT GL,2.18,9.64,2010年,9.8万公里,1.6L,手动
20053,起亚 霸锐 2008款 3.8L 豪华版 国IV(进口),8.5,43.2,2009年,14.6万公里,3.8L,自动
20054,起亚K3 2016款 1.6L 自动GLS,6.98,12.9,2017年,5.6万公里,1.6L,自动
20055,起亚 狮跑 2013款 2.0L 手动两驱版GLS,4.9,13.44,2013年,10.8万公里,2.0L,手动
20056,起亚K4 2015款 1.8L 自动GLS Special,7.6,16.26,2015年,9.86万公里,1.8L,自动
20057,起亚KX3 2015款 1.6L 自动两驱DLX,7.38,15.28,2016年,5.51万公里,1.6L,自动
20058,起亚KX5 2016款 2.0L 自动两驱GLS,8.98,18.65,2016年,8.9万公里,2.0L,自动
20059,起亚 智跑 2014款 2.0L 自动两驱版Premium,7.78,22.77,2014年,6.36万公里,2.0L,自动
20060,起亚 智跑 2015款 2.0L 自动两驱版DLX,8.28,19.3,2015年,9.3万公里,2.0L,自动
20061,起亚 秀尔 2012款 1.6L AT Premium,6.18,13.87,2014年,5万公里,1.6L,自动
20062,起亚 狮跑 2013款 2.0L 手动两驱版GL,5.58,11.92,2014年,8万公里,2.0L,手动
20063,起亚 2015款 索兰托L 2.4L 汽油4WD精英版 7座 国IV(进口),14.68,31.02,2017年,5万公里,2.4L,自动
20064,起亚K5 2012款 2.0L 自动DLX,7.38,20.49,2013年,8.43万公里,2.0L,自动
20065,起亚 福瑞迪 2019款 1.6L 自动风尚版 国VI,7.8,9.2,2020年,0.27万公里,1.6L,自动
20066,起亚K5 2014款 2.0L 自动LUXURY,8.2,20.49,2014年,11.2万公里,2.0L,自动
20067,起亚KX5 2016款 1.6T 自动两驱DLX,10.68,19.19,2017年,6.31万公里,1.6T,自动
20068,起亚 智跑 2016款 2.0L 自动两驱版GL,9.3,17.24,2017年,5.43万公里,2.0L,自动
20069,起亚 狮跑 2009款 2.7L 自动四驱版GLS,4.78,25.92,2009年,9万公里,2.7L,自动
20070,起亚 狮跑 2012款 2.0L 手动两驱版GL,4.2,17.35,2013年,9万公里,2.0L,手动
20071,起亚KX CROSS 2017款 1.4L AT GLS,6.78,9.32,2018年,2.86万公里,1.4L,自动
20072,起亚K3 2016款 1.6L 自动GL,7.26,11.59,2018年,4.38万公里,1.6L,自动
20073,起亚 智跑 2016款 2.0L 自动两驱版GL,8.5,17.24,2017年,7万公里,2.0L,自动
20074,起亚 焕驰 2017款 1.4L 自动智享版Value,4.88,7.15,2018年,4.69万公里,1.4L,自动
20075,起亚 福瑞迪 2012款 1.6L MT GL 纪念版,3.18,10.72,2013年,12.29万公里,1.6L,手动
20076,起亚K3 2017款 1.6L 自动15周年特别版GLS,7.55,12.9,2018年,5万公里,1.6L,自动
20077,起亚K3 2013款 1.6L 自动GLS,5.7,13.55,2014年,8.6万公里,1.6L,自动
20078,起亚K2 2012款 三厢 1.4L MT TOP纪念版,4.0,9.22,2014年,5.4万公里,1.4L,手动
20079,起亚 福瑞迪 2009款 1.6L AT GLS,3.18,13.0,2010年,9万公里,1.6L,自动
20080,起亚 狮跑 2009款 2.0L 自动两驱版GL,3.6,18.43,2009年,14.9万公里,2.0L,自动
20081,起亚 智跑 2018款 2.0L 自动智享豪华版 国V,11.68,15.19,2018年,4.53万公里,2.0L,自动
20082,起亚 智跑 2018款 2.0L 自动智享豪华版 国V,10.88,15.19,2018年,1.8万公里,2.0L,自动
20083,起亚 福瑞迪 2011款 1.6L MT GL,2.38,10.72,2011年,12万公里,1.6L,手动
20084,起亚KX3 2015款 1.6L 自动两驱DLX,6.6,15.28,2015年,3.7万公里,1.6L,自动
20085,起亚K3S 2014款 1.6L 自动GL,6.0,12.14,2015年,7.2万公里,1.6L,自动
20086,起亚K5 2014款 2.0L 自动GL,7.38,18.21,2014年,8.5万公里,2.0L,自动
20087,起亚K3 2013款 1.6L 自动GL,4.97,12.24,2013年,6.61万公里,1.6L,自动
20088,起亚 赛拉图 欧风 2008款 欧风 1.6 AT GL,2.88,10.83,2010年,10.57万公里,1.6L,自动
20089,起亚 新佳乐 2011款 2.0L 7座自动舒适版(进口),4.18,17.89,2011年,11万公里,2.0L,自动
20090,起亚KX CROSS 2019款 1.6L 自动灵动天窗版 国V,7.18,9.87,2019年,2万公里,1.6L,自动
20091,起亚K5 2016款 2.0L 自动GLS,9.8,17.89,2017年,6.1万公里,2.0L,自动
20092,起亚 智跑 2016款 2.0L 自动两驱版GL,8.88,17.24,2017年,3.3万公里,2.0L,自动
20093,起亚 智跑 2015款 2.0L 自动两驱版DLX,8.18,19.3,2015年,8.75万公里,2.0L,自动
20094,起亚 福瑞迪 2014款 1.6L MT GL,3.85,10.72,2014年,4.8万公里,1.6L,手动
20095,起亚K3 2016款 1.6L 手动GLS,5.6,11.81,2017年,9.6万公里,1.6L,手动
20096,起亚 福瑞迪 2014款 1.6L MT GL,3.6,10.72,2014年,7万公里,1.6L,手动
20097,起亚KX5 2019款 1.6T 自动两驱豪华版,12.78,18.43,2019年,1.27万公里,1.6T,自动
20098,起亚K5 2016款 1.6T 自动LUX,9.7,19.63,2016年,4.7万公里,1.6T,自动
20099,起亚K2 2012款 三厢 1.6L AT Premium纪念版,4.6,10.84,2014年,5.27万公里,1.6L,自动
20100,起亚K2 2015款 三厢 1.4L AT版,4.88,9.0,2014年,6.62万公里,1.4L,自动
20101,起亚K3 2016款 1.6L 自动GLS,7.49,12.9,2017年,4.72万公里,1.6L,自动
20102,起亚K5 2014款 2.0L 自动LUXURY,9.68,20.49,2015年,7.71万公里,2.0L,自动
20103,起亚K5 2012款 2.0L 自动DLX,5.8,20.49,2012年,11.97万公里,2.0L,自动
20104,起亚 智跑 2018款 2.0L 自动智享豪华版 国V,11.3,15.19,2019年,1.28万公里,2.0L,自动
20105,起亚 凯绅 2017款 1.8L 自动DLX,9.56,16.26,2018年,4.15万公里,1.8L,自动
20106,起亚 智跑 2018款 2.0L 自动智享豪华版 国V,10.48,15.19,2018年,1.91万公里,2.0L,自动
20107,起亚K3 2015款 1.6L 自动GLS,5.8,13.55,2015年,4.8万公里,1.6L,自动
20108,起亚K4 2015款 1.8L 自动GLS Special,5.98,16.26,2015年,6.08万公里,1.8L,自动
20109,起亚K2 2017款 三厢 1.4L AT GLS,5.6,9.65,2017年,5.85万公里,1.4L,自动
20110,起亚K3 2016款 1.6L 自动天窗版,6.9,11.92,2016年,6.78万公里,1.6L,自动
20111,起亚K4 2017款 1.8L 自动GLS Special,8.88,16.26,2017年,2.05万公里,1.8L,自动
20112,起亚 福瑞迪 2011款 1.6L MT GLS,2.48,11.92,2011年,13万公里,1.6L,手动
20113,起亚 索兰托 2012款 2.4L 汽油至尊版(进口),8.8,29.07,2012年,10.38万公里,2.4L,自动
20114,起亚K3 2013款 1.6L 自动GLS,5.38,13.55,2013年,6.85万公里,1.6L,自动
20115,起亚K3 2016款 1.6L 自动GLS,6.3,12.9,2016年,4.9万公里,1.6L,自动
20116,起亚 赛拉图 欧风 2008款 欧风 1.6 AT GL,3.58,10.83,2011年,10.32万公里,1.6L,自动
20117,起亚K5 2011款 2.0L 手动GL,5.88,17.35,2012年,9.24万公里,2.0L,手动
20118,起亚K4 2014款 1.8L 自动GLS,7.9,16.15,2015年,8万公里,1.8L,自动
20119,起亚K5 2014款 2.0L 自动LUXURY,8.5,20.49,2014年,5.87万公里,2.0L,自动
20120,起亚K3 2013款 1.6L 手动GLS,4.3,12.46,2013年,8.1万公里,1.6L,手动
20121,起亚KX CROSS 2017款 1.4L AT GLS,6.88,9.32,2018年,1.48万公里,1.4L,自动
20122,起亚K3 2016款 1.6L 自动天窗版,6.7,11.92,2018年,2.7万公里,1.6L,自动
20123,起亚K5 2012款 2.0L 自动Premium,6.5,23.32,2012年,14.67万公里,2.0L,自动
20124,起亚K2 2015款 三厢 1.4L AT版,5.58,9.0,2016年,6.31万公里,1.4L,自动
20125,起亚 智跑 2018款 2.0L 自动智享豪华版 国V,11.18,15.19,2019年,1.39万公里,2.0L,自动
20126,起亚K5 2016款 2.0L 自动GL,9.0,17.35,2018年,4万公里,2.0L,自动
20127,起亚K5 2012款 2.0L 自动DLX,7.0,20.49,2013年,8.4万公里,2.0L,自动
20128,起亚K5 2012款 2.0L 自动DLX,6.38,20.49,2013年,13.68万公里,2.0L,自动
20129,起亚 索兰托 2012款 2.4L 汽油至尊版(进口),8.8,29.07,2012年,10.38万公里,2.4L,自动
20130,起亚K3 2016款 1.6L 自动天窗版,6.9,11.92,2016年,6.78万公里,1.6L,自动
20131,起亚K3 2013款 1.6L 自动GLS,5.38,13.55,2013年,6.85万公里,1.6L,自动
20132,起亚KX CROSS 2017款 1.4L AT GLS,6.88,9.32,2018年,1.48万公里,1.4L,自动
20133,起亚K3 2016款 1.6L 自动天窗版,6.7,11.92,2018年,2.7万公里,1.6L,自动
20134,起亚 智跑 2012款 2.0L 自动两驱版GL,6.6,19.41,2012年,11万公里,2.0L,自动
20135,起亚 智跑 2018款 2.0L 自动智享豪华版 国V,10.48,15.19,2018年,1.91万公里,2.0L,自动
20136,起亚 佳乐 2013款 2.0L 7座自动舒适版 国V(进口),10.8,19.84,2019年,2.08万公里,2.0L,自动
20137,起亚K5 2016款 2.0L 自动LUX,11.68,19.08,2018年,2.62万公里,2.0L,自动
20138,起亚K3 2016款 1.6L 自动GL,6.78,11.59,2017年,5.3万公里,1.6L,自动
20139,起亚KX5 2016款 1.6T 自动两驱DLX,10.58,19.19,2016年,6.67万公里,1.6T,自动
20140,起亚K3 2016款 1.6L 自动GLS,6.3,12.9,2016年,4.9万公里,1.6L,自动
20141,起亚 K5凯酷 2020款 380T GT-Line 尊贵科技版,17.8,21.25,2021年,0.01万公里,2.0T,自动
20142,起亚 赛拉图 欧风 2008款 欧风 1.6 AT GL,3.58,10.83,2011年,10.32万公里,1.6L,自动
20143,起亚 智跑 2012款 2.0L 自动两驱版GL,6.98,19.41,2013年,7万公里,2.0L,自动
20144,起亚 智跑 2016款 2.0L 自动两驱版DLX,10.3,19.3,2017年,3.75万公里,2.0L,自动
20145,起亚KX5 2016款 1.6T 自动两驱DLX,10.08,19.19,2017年,5.3万公里,1.6T,自动
20146,起亚KX3 2017款 1.6L 自动傲雅版,7.58,15.28,2016年,5.46万公里,1.6L,自动
20147,起亚 秀尔 2013款 1.6L MT GL,3.89,11.27,2013年,6.61万公里,1.6L,手动
20148,起亚 智跑 2019款 2.0L 自动智享豪华版,12.0,15.19,2020年,0.94万公里,2.0L,自动
20149,起亚K5 2014款 2.0L 自动LUXURY,8.4,20.49,2015年,9万公里,2.0L,自动
20150,起亚K3 2016款 1.6L 自动GL,6.78,11.59,2018年,5.84万公里,1.6L,自动
20151,起亚 智跑 2014款 2.0L 自动两驱版GL,7.88,19.41,2014年,5.85万公里,2.0L,自动
20152,起亚 狮跑 2011款 2.0L 自动两驱版GLS,3.8,19.95,2011年,9万公里,2.0L,自动
20153,起亚K3 2016款 1.6L 自动天窗版,7.86,11.92,2017年,5.2万公里,1.6L,自动
20154,起亚K5 2014款 2.0L 自动GLS,7.58,19.41,2014年,5.78万公里,2.0L,自动
20155,起亚K3 2015款 1.6L 手动GL,5.8,11.16,2016年,2.15万公里,1.6L,手动
20156,起亚K3 2016款 1.6L 自动Premium,8.68,14.96,2019年,3.5万公里,1.6L,自动
20157,起亚 狮跑 2009款 2.0L 手动两驱版GLS,3.3,18.87,2009年,12万公里,2.0L,手动
20158,起亚K4 2014款 1.6T 自动Turbo,8.6,17.35,2016年,8.1万公里,1.6T,自动
20159,起亚K2 2012款 三厢 1.4L AT GLS纪念版,3.98,9.32,2014年,7.62万公里,1.4L,自动
20160,起亚 2015款 索兰托L 2.4L 汽油4WD尊贵版 7座 国IV(进口),14.9,34.58,2015年,8.59万公里,2.4L,自动
20161,起亚 智跑 2015款 2.0L 自动两驱版DLX,8.88,19.3,2016年,6.82万公里,2.0L,自动
20162,起亚K3 2015款 1.6L 自动GL,5.99,12.24,2015年,8.1万公里,1.6L,自动
20163,起亚K5 2016款 2.0L hybrid GLS,10.5,21.69,2017年,5.38万公里,2.0L,自动
20164,起亚K5 2012款 2.0L 自动DLX,7.3,20.49,2013年,8.23万公里,2.0L,自动
20165,起亚K3 2016款 1.6L 手动GL,6.68,10.51,2018年,3.14万公里,1.6L,手动
20166,起亚 智跑 2015款 2.0L 自动两驱版GL,7.48,17.24,2015年,9万公里,2.0L,自动
20167,起亚K3 2016款 1.6L 自动天窗版,6.58,11.92,2017年,4.89万公里,1.6L,自动
20168,起亚K3 2017款 1.6L 自动15周年特别版GLS,7.0,12.9,2018年,4.88万公里,1.6L,自动
20169,起亚K3 2019款 1.5L CVT智享互联版,9.38,12.57,2020年,1.57万公里,1.5L,自动
20170,起亚 福瑞迪 2009款 1.6L MT GL,2.68,10.72,2010年,9万公里,1.6L,手动
20171,起亚K5 2012款 2.0L 自动DLX,8.58,20.49,2014年,9万公里,2.0L,自动
20172,起亚K3 2015款 1.6L 自动DLX,6.48,14.31,2016年,6.05万公里,1.6L,自动
20173,起亚K3 2016款 1.6L 自动GL,7.38,11.59,2018年,2.68万公里,1.6L,自动
20174,起亚 智跑 2019款 2.0L 自动智享豪华版,12.98,15.19,2020年,0.28万公里,2.0L,自动
20175,起亚K3 2016款 1.6L 自动天窗版,6.5,11.92,2016年,4.07万公里,1.6L,自动
20176,起亚 KX3傲跑 2020款 1.5L CVT潮流版,10.65,13.66,2019年,1.18万公里,1.5L,自动
20177,起亚K2 2011款 三厢 1.4L MT GLS,2.6,8.46,2011年,5.39万公里,1.4L,手动
20178,起亚K2 2012款 两厢 1.4L AT 炫酷纪念版,5.2,9.54,2015年,5.1万公里,1.4L,自动
20179,起亚 智跑 2011款 2.0L 自动两驱版GL,6.25,19.41,2012年,11.56万公里,2.0L,自动
20180,起亚K3 2013款 1.6L 手动GL,4.88,11.16,2014年,6.06万公里,1.6L,手动
20181,起亚 福瑞迪 2012款 1.6L AT Premium 纪念版,3.98,13.33,2012年,7.12万公里,1.6L,自动
20182,起亚 智跑 2015款 2.0L 自动两驱版DLX,8.99,19.3,2016年,7万公里,2.0L,自动
20183,起亚K2 2017款 三厢 1.4L MT GL,5.8,7.91,2018年,3.6万公里,1.4L,手动
20184,起亚K5 2012款 2.0L 自动DLX,6.78,20.49,2012年,11.65万公里,2.0L,自动
20185,起亚 智跑 2011款 2.0L 自动四驱版GLS,5.98,23.1,2011年,9.63万公里,2.0L,自动
20186,起亚 智跑 2015款 2.0L 自动两驱版GLS,8.9,18.76,2015年,7.8万公里,2.0L,自动
20187,起亚 智跑 2019款 2.0L 自动智享豪华版,10.98,15.19,2019年,4.16万公里,2.0L,自动
20188,起亚K2 2017款 三厢 1.4L AT GLS,5.6,9.65,2018年,5.1万公里,1.4L,自动
20189,起亚 焕驰 2017款 1.4L 自动智享版Value,5.5,7.15,2018年,4.56万公里,1.4L,自动
20190,起亚 智跑 2015款 2.0L 自动两驱版DLX,8.38,19.3,2015年,7万公里,2.0L,自动
20191,起亚 智跑 2016款 2.0L 自动两驱版GL,7.98,17.24,2016年,7.41万公里,2.0L,自动
20192,起亚 新佳乐 2011款 1.6L 5座手动豪华版(进口),3.28,14.07,2012年,11.02万公里,1.6L,手动
20193,起亚K3 2015款 1.6L 自动GL,5.98,12.24,2016年,8.94万公里,1.6L,自动
20194,起亚 福瑞迪 2012款 1.6L AT Premium 纪念版,3.68,13.33,2012年,5.98万公里,1.6L,自动
20195,起亚 智跑 2011款 2.0L 自动两驱版GL,5.78,19.41,2011年,13.79万公里,2.0L,自动
20196,起亚 狮跑 2013款 2.0L 手动两驱版GLS,4.88,13.44,2013年,13万公里,2.0L,手动
20197,起亚K5 2014款 2.0L 自动LUXURY,8.8,20.49,2015年,8.05万公里,2.0L,自动
20198,起亚K3 2016款 1.6L 自动GLS,7.7,12.9,2017年,3.1万公里,1.6L,自动
20199,起亚K3 2013款 1.6L 自动GLS,4.68,13.55,2013年,9.55万公里,1.6L,自动
20200,起亚 智跑 2012款 2.0L 自动两驱版GL,5.8,19.41,2012年,12万公里,2.0L,自动
20201,起亚KX5 2016款 1.6T 自动两驱DLX,9.6,19.19,2016年,8万公里,1.6T,自动
20202,起亚 狮跑 2013款 2.0L 自动两驱版GL,6.5,13.0,2015年,10.26万公里,2.0L,自动
20203,起亚K3 2015款 1.6L 自动GL,5.99,12.24,2015年,8.1万公里,1.6L,自动
20204,起亚K5 2012款 2.0L 自动DLX,7.3,20.49,2013年,8.23万公里,2.0L,自动
20205,起亚K3 2015款 1.6L 手动GL,4.5,11.16,2015年,8.3万公里,1.6L,手动
20206,起亚 智跑 2015款 2.0L 自动两驱版DLX,8.88,19.3,2016年,6.82万公里,2.0L,自动
20207,起亚KX3 2017款 1.6L 自动傲雅15周年特别版,8.8,15.28,2017年,6.23万公里,1.6L,自动
20208,起亚 2015款 索兰托L 2.4L 汽油4WD尊贵版 7座 国IV(进口),14.9,34.58,2015年,8.59万公里,2.4L,自动
20209,起亚 新佳乐 2011款 1.6L 5座自动豪华版(进口),4.5,15.15,2011年,9.8万公里,1.6L,自动
20210,起亚K5 2014款 2.0L 自动LUXURY,8.5,20.49,2014年,9.29万公里,2.0L,自动
20211,起亚K2 2011款 三厢 1.4L MT GLS,2.6,8.46,2011年,5.39万公里,1.4L,手动
20212,起亚 福瑞迪 2012款 1.6L AT Premium 纪念版,4.88,13.33,2013年,7.9万公里,1.6L,自动
20213,起亚 智跑 2011款 2.0L 自动两驱版GL,5.4,19.41,2010年,9.4万公里,2.0L,自动
20214,起亚K3 2015款 1.6L 自动GL,6.5,12.24,2016年,7.7万公里,1.6L,自动
20215,起亚 KX3傲跑 2020款 1.5L CVT潮流版,10.65,13.66,2019年,1.18万公里,1.5L,自动
