,车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
12624,现代 领动 2018款 1.4T 双离合炫动·活力型,7.66,13.55,2018,6.32,1.4T,0,3
12625,现代ix35 2019款 2.0L 自动两驱智勇·畅联版 国V,11.58,16.49,2019,1.7,2.0L,0,2
12626,现代 瑞纳 2014款 1.4L 手动智能型GLS,3.7,8.56,2016,8.24,1.4L,1,5
12627,现代 途胜 2015款 1.6T 双离合两驱智能型,9.8,19.53,2016,5.31,1.6T,0,5
12628,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.5,16.26,2018,7.78,1.8L,0,3
12629,现代 途胜 2015款 1.6T 双离合两驱智能型,11.3,19.53,2017,6.16,1.6T,0,4
12630,现代 菲斯塔 2019款 280TGDi 运动版 国VI,11.58,14.52,2019,4.33,1.6T,0,2
12631,现代 朗动 2013款 1.6L 自动尊贵型,5.98,14.63,2014,13.14,1.6L,0,7
12632,现代 瑞纳 2017款 1.4L 手动焕新版 国VI,4.89,5.42,2020,0.72,1.4L,1,1
12633,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国VI,12.5,15.19,2020,1.12,2.0L,0,1
12634,现代 飞思 2012款 1.6T 自动尊享版(进口),8.6,20.06,2014,6.45,1.6T,0,7
12635,现代 名图 2014款 1.8L 自动尊贵型DLX,8.18,17.35,2015,6.11,1.8L,0,6
12636,现代 悦纳 2016款 1.4L 自动炫酷版GLS,6.18,9.53,2018,4.05,1.4L,0,3
12637,现代 领动 2016款 1.6L 自动智炫·精英型,8.38,13.0,2018,2.97,1.6L,0,3
12638,现代 菲斯塔 2019款 280TGDi 运动版 国V,10.88,14.52,2019,3.55,1.6T,0,2
12639,现代ix35 2010款 2.0L 自动四驱尊贵版GLS,4.98,23.42,2010,10.93,2.0L,0,11
12640,现代 途胜 2015款 1.6T 双离合两驱智能型,10.8,19.53,2017,7.77,1.6T,0,4
12641,现代 名图 2014款 1.8L 自动尊贵型DLX,8.5,17.35,2015,4.68,1.8L,0,6
12642,现代 悦动 2010款 1.6L MT GL,2.15,10.83,2010,12.96,1.6L,1,11
12643,现代 朗动 2013款 1.6L 自动领先型,5.88,13.87,2014,9.0,1.6L,0,7
12644,现代 全新胜达 2013款 2.4L 自动两驱智能型,10.8,27.12,2015,6.76,2.4L,0,6
12645,现代 全新胜达 2013款 2.4L 自动两驱智能型,10.98,27.12,2015,9.03,2.4L,0,6
12646,现代 伊兰特 2008款 1.6L 手动豪华贵雅版,1.88,11.05,2010,14.17,1.6L,1,11
12647,现代 朗动 2016款 1.6L 自动智能型,7.0,12.57,2018,3.56,1.6L,0,3
12648,现代 瑞奕 2014款 1.4L 自动GLX,4.38,9.54,2015,5.86,1.4L,0,6
12649,现代 朗动 2015款 1.6L 自动领先型,6.2,13.87,2015,15.24,1.6L,0,6
12650,现代 领动 2016款 1.6L 自动智炫·精英型,7.58,13.0,2018,3.44,1.6L,0,3
12651,现代 索纳塔八 2015款 经典 2.0L 自动豪华版,8.88,20.61,2016,9.65,2.0L,0,5
12652,现代 朗动 2012款 1.6L 自动领先型,5.26,13.66,2013,3.83,1.6L,0,8
12653,现代 途胜 2015款 1.6T 双离合两驱智能型,9.48,19.53,2016,7.96,1.6T,0,5
12654,现代 飞思 2012款 1.6T 自动尊享版(进口),7.2,20.06,2013,12.46,1.6T,0,8
12655,现代 途胜 2015款 1.6T 双离合两驱智能型,10.38,19.53,2016,8.93,1.6T,0,5
12656,现代 领动 2016款 1.6L 自动智炫·精英型,7.7,13.0,2017,3.52,1.6L,0,4
12657,现代 名图 2014款 1.8L 自动智能型GLS,8.38,16.26,2015,7.83,1.8L,0,6
12658,现代 朗动 2016款 1.6L 自动尊贵型,7.3,13.87,2017,6.89,1.6L,0,4
12659,现代 途胜 2019款 280TGDi 双离合两驱时尚版 国V,13.5,19.53,2019,2.61,1.6T,0,2
12660,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.98,16.26,2019,3.48,1.8L,0,2
12661,现代ix35 2015款 2.0L 自动两驱舒适型 国V,9.18,17.78,2017,3.25,2.0L,0,4
12662,现代ix35 2012款 2.0L 自动两驱新锐版GL,6.8,19.95,2013,10.42,2.0L,0,8
12663,现代 ENCINO 2018款 1.6T 双离合致联版,10.4,15.19,2020,1.57,1.6T,0,1
12664,现代 朗动 2016款 1.6L 自动智能型,6.9,12.57,2016,7.14,1.6L,0,5
12665,现代 朗动 2015款 1.6L 手动领先型,5.58,12.57,2015,7.46,1.6L,1,6
12666,现代 悦动 2018款 1.6L 自动悦目版GL 国VI,6.96,9.22,2019,0.15,1.6L,0,2
12667,现代 飞思 2011款 1.6L 自动旗舰版(进口),6.8,22.34,2012,10.09,1.6L,0,9
12668,现代 朗动 2012款 1.6L 手动时尚型,4.18,11.48,2014,8.34,1.6L,1,7
12669,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国VI,11.28,15.19,2019,0.87,2.0L,0,2
12670,现代 飞思 2015款 1.6T 自动豪华版(进口),9.88,21.14,2016,8.89,1.6T,0,5
12671,现代 名图 2014款 1.8L 自动智能型GLS,7.5,16.26,2014,7.6,1.8L,0,7
12672,现代ix35 2012款 2.0L 自动两驱精英版GLS,6.78,21.25,2013,8.99,2.0L,0,8
12673,现代 菲斯塔 2019款 280TGDi 智速版 国VI,12.08,15.28,2019,1.85,1.6T,0,2
12674,现代ix25 2015款 1.6L 自动两驱智能型GLS,7.5,15.5,2015,5.48,1.6L,0,6
12675,现代 悦动 2011款 1.6L 手动舒适型,2.7,10.83,2013,12.53,1.6L,1,8
12676,现代 瑞纳 2014款 1.4L 自动领先型GLX,4.7,10.08,2015,8.41,1.4L,0,6
12677,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,10.58,15.19,2019,3.66,2.0L,0,2
12678,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,10.98,15.19,2019,9.83,2.0L,0,2
12679,现代 全新胜达 2013款 2.4L 自动两驱智能型,8.98,27.12,2014,13.07,2.4L,0,7
12680,现代 索纳塔八 2011款 2.0L 自动领先版,6.28,19.53,2012,9.42,2.0L,0,9
12681,现代 途胜 2015款 1.6T 双离合两驱舒适型,10.5,18.44,2017,6.01,1.6T,0,4
12682,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.48,16.26,2017,4.89,1.8L,0,4
12683,现代 领动 2016款 1.6L 自动智炫·豪华型,8.7,14.52,2019,1.66,1.6L,0,2
12684,现代 名图 2014款 1.8L 自动智能型GLS,8.3,16.26,2016,8.92,1.8L,0,5
12685,现代 名图 2016款 1.8L 自动尊贵型DLX,8.58,17.35,2016,9.95,1.8L,0,5
12686,现代ix25 2017款 1.6L 自动智能型,8.98,14.42,2018,3.35,1.6L,0,3
12687,现代ix35 2015款 2.0L 自动两驱舒适型 国V,9.2,17.78,2017,4.46,2.0L,0,4
12688,现代 名图 2017款 1.6T 自动智能型GLS 国V,11.28,17.35,2018,2.68,1.6T,0,3
12689,现代 途胜 2015款 1.6T 双离合两驱智能型,9.8,19.53,2017,4.6,1.6T,0,4
12690,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,11.28,15.19,2019,5.34,2.0L,0,2
12691,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,9.8,15.19,2018,2.88,2.0L,0,3
12692,现代ix25 2017款 1.6L 自动智能型,9.88,14.42,2019,1.27,1.6L,0,2
12693,现代 索纳塔八 2011款 2.0L 自动领先版,6.1,19.53,2011,9.71,2.0L,0,10
12694,现代 菲斯塔 2019款 280TGDi 智速版 国V,11.3,15.28,2019,2.88,1.6T,0,2
12695,现代 瑞纳 2016款 1.4L 手动智能型GLS,3.5,8.56,2016,7.93,1.4L,1,5
12696,现代 菲斯塔 2019款 280TGDi 智速版 国VI,12.38,15.28,2019,0.96,1.6T,0,2
12697,现代 索纳塔 2020款 270TGDi GLS DCT精英版,16.6,18.65,2020,0.02,1.5T,0,1
12698,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.78,16.26,2019,3.73,1.8L,0,2
12699,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,7.66,21.36,2014,7.34,2.0L,0,7
12700,现代 途胜 2015款 1.6T 双离合两驱智能型,11.6,19.53,2017,4.66,1.6T,0,4
12701,现代 菲斯塔 2019款 240TGDi 舒适版  国V,9.98,13.0,2018,4.68,1.4T,0,3
12702,现代 瑞奕 2016款 1.4L 自动领先型GLX,5.5,9.54,2016,6.32,1.4L,0,5
12703,现代 名图 2014款 1.8L 自动智能型GLS,7.8,16.26,2014,9.53,1.8L,0,7
12704,现代 全新胜达 2017款 2.4L 自动两驱智能型 5座,11.58,26.03,2017,7.98,2.4L,0,4
12705,现代 领动 2016款 1.4T 双离合炫动·活力型,7.98,14.09,2017,7.85,1.4T,0,4
12706,现代ix35 2010款 2.4L 自动四驱领航版GLS,5.68,26.36,2010,6.96,2.4L,0,11
12707,现代 全新胜达 2013款 2.4L 自动四驱舒适型,10.88,26.46,2015,6.87,2.4L,0,6
12708,现代 名图 2016款 1.8L 自动智能型GLS,8.8,16.26,2016,6.28,1.8L,0,5
12709,现代 全新胜达 2013款 2.4L 自动两驱智能型,9.8,27.12,2013,14.47,2.4L,0,8
12710,现代 朗动 2016款 1.6L 自动智能型,8.38,12.57,2018,1.8,1.6L,0,3
12711,现代ix25 2015款 1.6L 自动两驱智能型GLS,8.1,15.5,2016,5.37,1.6L,0,5
12712,现代 途胜 2013款 2.0L 自动两驱舒适型,5.38,19.95,2013,12.42,2.0L,0,8
12713,现代 名图 2017款 1.6T 自动智能型GLS 国V,9.5,17.35,2018,3.07,1.6T,0,3
12714,现代 领动 2016款 1.4T 双离合炫动·活力型,8.2,14.09,2017,4.49,1.4T,0,4
12715,现代 领动 2018款 1.6L 自动15周年特别版,8.33,13.0,2018,3.62,1.6L,0,3
12716,现代 瑞纳 2017款 1.4L 自动跃享版 国VI,5.75,7.15,2019,2.7,1.4L,0,2
12717,现代ix25 2017款 1.6L 自动智能型,9.0,14.42,2018,4.55,1.6L,0,3
12718,现代ix25 2015款 1.6L 自动两驱尊贵型DLX,7.58,17.02,2015,6.88,1.6L,0,6
12719,现代 朗动 2016款 1.6L 自动尊贵型,7.65,13.87,2017,2.18,1.6L,0,4
12720,现代ix25 2015款 1.6L 自动两驱智能型GLS,8.91,15.5,2017,3.42,1.6L,0,4
12721,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.58,16.26,2017,4.64,1.8L,0,4
12722,现代 雅科仕 2012款 3.8 GDi尊享版(进口),18.78,88.79,2011,9.94,3.8L,0,10
12723,现代ix25 2015款 2.0L 自动四驱尊贵型DLX,8.8,20.28,2016,6.6,2.0L,0,5
12724,现代 瑞纳 2017款 1.4L 手动焕彩天窗版 国V,4.65,6.28,2018,1.08,1.4L,1,3
12725,现代ix25 2017款 1.6L 自动智能型,9.59,14.42,2018,1.4,1.6L,0,3
12726,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,10.8,15.19,2018,4.65,2.0L,0,3
12727,现代 领动 2018款 1.6L 自动15周年特别版,8.78,13.0,2019,2.49,1.6L,0,2
12728,现代 菲斯塔 2019款 280TGDi 运动版 国VI,11.5,14.52,2020,0.75,1.6T,0,1
12729,现代 朗动 2012款 1.6L 自动时尚型,5.48,12.57,2014,7.92,1.6L,0,7
12730,现代 领动 2018款 1.6L 自动15周年特别版,8.48,13.0,2018,2.74,1.6L,0,3
12731,现代 名图 2016款 1.8L 自动尊贵型DLX,8.8,17.35,2016,7.07,1.8L,0,5
12732,现代 名图 2017款 1.8L 自动智能型GLS 国V,10.38,16.26,2018,3.81,1.8L,0,3
12733,现代 悦动 2011款 1.6L 手动舒适型,4.3,10.83,2015,7.51,1.6L,1,6
12734,现代ix25 2020款 1.5L CVT智能型,11.2,13.0,2019,1.54,1.5L,0,2
12735,现代 悦动 2015款 1.6L 手动豪华型,4.28,11.92,2015,5.17,1.6L,1,6
12736,现代 朗动 2015款 1.6L 自动尊贵型,5.98,14.63,2015,14.06,1.6L,0,6
12737,现代 途胜 2018款 1.6T 双离合两驱15周年特别版,10.71,19.53,2017,6.55,1.6T,0,4
12738,现代 瑞奕 2016款 1.4L 自动领先型GLX,5.3,9.54,2016,5.41,1.4L,0,5
12739,现代 悦纳 2016款 1.4L 手动炫酷版GLS,5.7,8.44,2019,1.12,1.4L,1,2
12740,现代 菲斯塔 2019款 280TGDi 智速版 国V,12.68,15.28,2019,1.39,1.6T,0,2
12741,现代ix25 2017款 1.6L 自动智能型,9.3,14.42,2019,0.95,1.6L,0,2
12742,现代 途胜 2015款 1.6T 双离合两驱智能型,11.9,19.53,2017,5.09,1.6T,0,4
12743,现代 瑞奕 2014款 1.6L 自动TOP,5.28,10.84,2014,8.8,1.6L,0,7
12744,现代 领动 2016款 1.4T 双离合炫动·活力型,8.48,14.09,2018,3.54,1.4T,0,3
12745,现代 名图 2016款 1.8L 自动智能型GLS,8.7,16.26,2016,4.71,1.8L,0,5
12746,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.18,16.26,2017,4.26,1.8L,0,4
12747,现代 ENCINO 2018款 1.6T 双离合致联版,10.9,15.19,2019,0.02,1.6T,0,2
12748,现代 悦动 2018款 1.6L 自动悦目版GL 国V,6.9,9.22,2018,1.66,1.6L,0,3
12749,现代ix25 2017款 1.4T 自动智能型,9.9,15.5,2018,2.54,1.4T,0,3
12750,现代 朗动 2016款 1.6L 手动尊贵型,6.5,12.57,2017,3.78,1.6L,1,4
12751,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.68,16.26,2018,4.39,1.8L,0,3
12752,现代 朗动 2012款 1.6L 手动领先型,5.02,12.57,2015,10.21,1.6L,1,6
12753,现代 悦动 2018款 1.6L 自动悦目版GL 国V,6.2,9.22,2019,4.4,1.6L,0,2
12754,现代ix35 2015款 2.0L 自动两驱舒适型 国V,8.88,17.78,2017,5.16,2.0L,0,4
12755,现代 全新胜达 2019款 380 TGDi DLX 自动两驱智尊版 国VI,18.52,26.36,2019,1.26,2.0T,0,2
12756,现代 菲斯塔 2019款 280TGDi 智享版 国V,9.7,15.61,2019,5.3,1.6T,0,2
12757,现代 领动 2016款 1.6L 自动智炫·精英型,7.36,13.0,2017,3.35,1.6L,0,4
12758,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,10.83,15.19,2019,1.82,2.0L,0,2
12759,现代 菲斯塔 2019款 280TGDi 智速版 国V,10.79,15.28,2018,2.69,1.6T,0,3
12760,现代 领动 2016款 1.6L 自动智炫·精英型,7.18,13.0,2016,8.85,1.6L,0,5
12761,现代 瑞纳 2017款 1.4L 自动跃享版 国V,5.45,7.15,2018,2.68,1.4L,0,3
12762,现代 朗动 2016款 1.6L 自动尊贵型,7.2,13.87,2016,4.33,1.6L,0,5
12763,现代 名图 2016款 1.8L 自动智能型GLS,8.08,16.26,2016,6.25,1.8L,0,5
12764,现代 菲斯塔 2019款 280TGDi 运动版 国V,11.18,14.52,2019,1.38,1.6T,0,2
12765,现代 朗动 2015款 1.6L 自动领先型,6.48,13.87,2016,5.85,1.6L,0,5
12766,现代 朗动 2016款 1.6L 自动智能型,7.4,12.57,2018,3.4,1.6L,0,3
12767,现代 领动 2016款 1.6L 自动智炫·精英型,8.1,13.0,2018,1.71,1.6L,0,3
12768,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,7.5,21.36,2013,9.19,2.0L,0,8
12769,现代 菲斯塔 2019款 280TGDi 智速版 国VI,12.0,15.28,2019,2.21,1.6T,0,2
12770,现代 领动 2016款 1.6L 自动智炫·精英型,7.9,13.0,2018,4.9,1.6L,0,3
12771,现代 名图 2014款 1.8L 自动智能型GLS,7.98,16.26,2015,6.56,1.8L,0,6
12772,现代 索纳塔九 2017款 2.0L GLS智能型,10.3,18.97,2017,3.78,2.0L,0,4
12773,现代ix35 2013款 2.0L 自动两驱舒适型GL 国IV,6.5,19.95,2013,9.75,2.0L,0,8
12774,现代ix25 2015款 1.6L 自动两驱智能型GLS,9.05,15.5,2017,1.16,1.6L,0,4
12775,现代 领动 2016款 1.6L 自动智炫·精英型,7.5,13.0,2018,3.9,1.6L,0,3
12776,现代 瑞纳 2017款 1.4L 手动焕新版 国V,4.68,5.42,2019,1.49,1.4L,1,2
12777,现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,11.8,15.19,2019,5.33,2.0L,0,2
12778,现代 瑞纳 2014款 1.4L 手动智能型GLS,3.7,8.56,2015,8.74,1.4L,1,6
12779,现代 朗动 2015款 1.6L 手动领先型,6.5,12.57,2015,3.82,1.6L,1,6
12780,现代 名图 2014款 1.8L 自动智能型GLS,8.0,16.26,2014,7.67,1.8L,0,7
12781,现代 瑞纳 2016款 1.4L 自动领先型GLX,5.2,10.08,2016,7.3,1.4L,0,5
12782,现代 名图 2017款 1.8L 自动智能型GLS 国V,10.2,16.26,2018,3.49,1.8L,0,3
12783,现代ix25 2017款 1.6L 自动智能型,9.68,14.42,2019,2.56,1.6L,0,2
12784,现代ix35 2015款 2.0L 自动两驱舒适型 国IV,9.08,17.78,2016,10.54,2.0L,0,5
12785,现代 领动 2016款 1.6L 自动智炫·精英型,8.5,13.0,2019,1.19,1.6L,0,2
12786,现代 全新胜达 2013款 3.0L 四驱舒适导航版 7座 欧IV(进口),10.5,34.71,2013,12.75,3.0L,0,8
12787,现代 领动 2016款 1.6L 自动智炫·精英型,7.7,13.0,2017,6.09,1.6L,0,4
12788,现代ix25 2017款 1.6L 自动智能型,9.3,14.42,2018,2.08,1.6L,0,3
12789,现代 名图 2014款 1.8L 自动智能型GLS,6.98,16.26,2014,10.64,1.8L,0,7
12790,现代 全新胜达 2017款 2.4L 自动两驱智能型 5座,13.38,26.03,2018,4.43,2.4L,0,3
12791,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.98,16.26,2017,3.47,1.8L,0,4
12792,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.38,16.26,2018,3.27,1.8L,0,3
12793,现代 领动 2016款 1.6L 自动智炫·精英型,7.18,13.0,2017,4.53,1.6L,0,4
12794,现代ix25 2015款 1.6L 自动两驱尊贵型DLX,8.2,17.02,2016,9.18,1.6L,0,5
12795,现代 朗动 2016款 1.6L 手动尊贵型,6.3,12.57,2017,8.94,1.6L,1,4
12796,现代 瑞纳 2017款 1.4L 手动焕新版 国V,4.58,5.42,2018,3.2,1.4L,1,3
12797,现代 菲斯塔 2019款 280TGDi 智速版 国V,11.78,15.28,2019,3.35,1.6T,0,2
12798,现代 领动 2016款 1.6L 自动智炫·精英型,7.32,13.0,2016,6.12,1.6L,0,5
12799,现代ix35 2012款 2.0L 自动两驱精英版GLS,6.9,21.25,2013,9.12,2.0L,0,8
12800,现代 途胜 2013款 2.0L 手动两驱时尚型,5.3,18.43,2014,8.42,2.0L,1,7
12801,现代 瑞纳 2014款 1.4L 自动智能型GLS,4.36,9.43,2016,5.09,1.4L,0,5
12802,现代 瑞纳 2014款 1.4L 自动智能型GLS,4.41,9.43,2016,4.69,1.4L,0,5
12803,现代 途胜 2015款 1.6T 双离合两驱智能型,9.98,19.53,2017,8.51,1.6T,0,4
12804,现代 朗动 2016款 1.6L 自动智能型,7.22,12.57,2018,2.3,1.6L,0,3
12805,现代 途胜 2015款 1.6T 双离合两驱智能型,10.0,19.53,2016,7.17,1.6T,0,5
12806,现代 名图 2014款 1.8L 自动智能型GLS,7.8,16.26,2014,8.32,1.8L,0,7
12807,现代ix35 2019款 1.4T DCT两驱智勇·畅享版 国V,11.84,15.73,2019,0.35,1.4T,0,2
12808,现代 领动 2016款 1.6L 自动智炫·精英型,7.68,13.0,2017,3.1,1.6L,0,4
12809,现代 途胜 2015款 1.6T 双离合两驱智能型,11.9,19.53,2018,3.16,1.6T,0,3
12810,现代 菲斯塔 2019款 280TGDi 智速版 国V,11.7,15.28,2019,2.47,1.6T,0,2
12811,现代 名图 2014款 1.8L 自动尊贵型DLX,8.3,17.35,2014,5.12,1.8L,0,7
12812,现代 索纳塔八 2011款 2.0L 自动豪华版,7.0,20.61,2012,8.51,2.0L,0,9
12813,现代 朗动 2016款 1.6L 自动尊贵型,7.38,13.87,2017,6.16,1.6L,0,4
12814,现代 瑞纳 2014款 1.4L 自动领先型GLX,5.1,10.08,2015,3.28,1.4L,0,6
12815,现代 名图 2016款 1.8L 自动智能型GLS,8.89,16.26,2017,4.31,1.8L,0,4
12816,现代 菲斯塔 2019款 280TGDi 智速版 国V,11.3,15.28,2019,1.74,1.6T,0,2
12817,现代ix35 2018款 2.0L 自动两驱智勇·畅联版,10.7,16.49,2018,1.72,2.0L,0,3
12818,现代 劳恩斯 酷派 2012款 2.0T 自动靓雅版(进口),11.8,27.31,2014,3.06,2.0T,0,7
12819,现代 索纳塔八 2011款 2.0L 自动领先版,5.28,19.53,2011,9.68,2.0L,0,10
12820,现代 全新胜达 2013款 2.4L 自动两驱舒适型,10.8,24.73,2015,8.28,2.4L,0,6
12821,现代ix25 2015款 1.6L 自动两驱智能型GLS,7.85,15.5,2016,5.2,1.6L,0,5
12822,现代 途胜 2015款 1.6T 双离合两驱智能型,10.17,19.53,2017,7.77,1.6T,0,4
12823,现代ix25 2015款 1.6L 自动两驱智能型GLS,7.8,15.5,2016,8.1,1.6L,0,5
12824,现代 索纳塔九 2015款 1.6T GLX领先型,9.49,22.56,2015,6.07,1.6T,0,6
12825,现代 名图 2014款 1.8L 手动舒适型GL,6.4,14.09,2015,7.97,1.8L,1,6
12826,现代 朗动 2016款 1.6L 自动智能型,7.48,12.57,2017,3.62,1.6L,0,4
12827,现代 名图 2017款 1.6T 自动智能型GLS 国V,9.27,17.35,2017,4.34,1.6T,0,4
12828,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.89,16.26,2018,5.19,1.8L,0,3
12829,现代 飞思 2011款 1.6L 自动尊享版(进口),5.4,18.43,2012,4.97,1.6L,0,9
12830,现代 名图 2016款 1.8L 自动智能型GLS,8.2,16.26,2016,3.55,1.8L,0,5
12831,现代 索纳塔八 2014款 2.4L 自动领先版 国IV,7.88,21.7,2014,3.92,2.4L,0,7
12832,现代ix35 2013款 2.0L 自动两驱舒适型GL 国V,7.2,19.95,2014,5.92,2.0L,0,7
12833,现代 朗动 2016款 1.6L 自动尊贵型,7.4,13.87,2017,3.69,1.6L,0,4
12834,现代 朗动 2016款 1.6L 自动智能型,7.27,12.57,2018,3.44,1.6L,0,3
12835,现代ix35 2015款 2.0L 自动两驱智能型 国V,8.36,19.19,2015,5.81,2.0L,0,6
12836,现代 ENCINO 2018款 1.6T 双离合致联版,9.71,15.19,2019,3.91,1.6T,0,2
12837,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.69,16.26,2018,3.09,1.8L,0,3
12838,现代 飞思 2012款 1.6T 自动尊享版(进口),8.94,20.06,2015,5.45,1.6T,0,6
12839,现代 名图 2016款 1.8L 自动尊贵型DLX,9.0,17.35,2017,7.03,1.8L,0,4
12840,现代 朗动 2016款 1.6L 自动智能型,7.2,12.57,2017,6.12,1.6L,0,4
12841,现代ix25 2015款 1.6L 自动两驱智能型GLS,6.92,15.5,2014,7.31,1.6L,0,7
12842,现代 索纳塔九 2015款 1.6T GLS智能型,8.64,21.14,2015,12.2,1.6T,0,6
12843,现代 朗动 2016款 1.6L 自动尊贵型,7.8,13.87,2018,2.1,1.6L,0,3
12844,现代 名图 2014款 1.8L 自动尊贵型DLX,8.1,17.35,2015,7.59,1.8L,0,6
12845,现代 途胜 2015款 1.6T 双离合两驱智能型,10.8,19.53,2017,5.0,1.6T,0,4
12846,现代 全新胜达 2013款 2.4L 自动两驱智能型,10.21,27.12,2015,5.69,2.4L,0,6
12847,现代 菲斯塔 2019款 280TGDi 智速版 国V,10.98,15.28,2019,5.44,1.6T,0,2
12848,现代 名图 2014款 1.8L 自动尊贵型DLX,8.4,17.35,2015,4.71,1.8L,0,6
12849,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.42,16.26,2017,3.38,1.8L,0,4
12850,现代 全新胜达 2013款 2.4L 自动两驱智能型,9.29,27.12,2014,7.88,2.4L,0,7
12851,现代 名图 2017款 1.6T 自动智能型GLS 国V,10.25,17.35,2017,4.53,1.6T,0,4
12852,现代ix25 2015款 1.6L 自动两驱智能型GLS,8.58,15.5,2017,3.94,1.6L,0,4
12853,现代 途胜 2015款 1.6T 双离合两驱智能型,9.0,19.53,2015,7.22,1.6T,0,6
12854,现代 朗动 2016款 1.6L 自动尊贵型,7.14,13.87,2017,4.52,1.6L,0,4
12855,现代ix35 2018款 2.0L 自动两驱智勇·畅享版,11.78,15.19,2018,3.29,2.0L,0,3
12856,现代 瑞纳 2016款 1.4L 自动智能型GLS,5.58,9.43,2017,1.3,1.4L,0,4
12857,现代 全新胜达 2013款 2.0T 自动四驱顶级型,9.31,33.63,2013,10.11,2.0T,0,8
12858,现代ix35 2015款 2.0L 自动两驱智能型 国IV,8.5,19.19,2015,6.75,2.0L,0,6
12859,现代 瑞纳 2014款 1.4L 自动智能型GLS,4.12,9.43,2015,7.89,1.4L,0,6
12860,现代 雅绅特 2008款 1.4手动舒适型,1.88,7.79,2009,10.8,1.4L,1,12
12861,现代 朗动 2015款 1.6L 自动领先型,6.18,13.87,2015,5.92,1.6L,0,6
12862,现代 朗动 2015款 1.6L 自动领先型,6.88,13.87,2016,4.98,1.6L,0,5
12863,现代 菲斯塔 2019款 280TGDi 运动版 国VI,11.58,14.52,2019,0.97,1.6T,0,2
12864,现代 朗动 2015款 1.6L 自动时尚型,6.28,12.57,2015,5.91,1.6L,0,6
12865,现代 索纳塔八 2013款 2.4L 自动豪华版 国IV,7.8,22.78,2014,10.2,2.4L,0,7
12866,现代ix35 2012款 2.0L 自动两驱精英版GLS,6.48,21.25,2012,12.0,2.0L,0,9
12867,现代ix35 2010款 2.0L 自动两驱精英版GLS,5.3,21.25,2011,8.94,2.0L,0,10
12868,现代ix25 2017款 1.6L 自动智能型,9.98,14.42,2018,2.43,1.6L,0,3
12869,现代 领动 2019款 1.5L CVT智炫·精英型,9.38,13.0,2019,3.09,1.5L,0,2
12870,现代 朗动 2016款 1.6L 自动尊贵型,7.98,13.87,2017,4.15,1.6L,0,4
12871,现代 朗动 2015款 1.6L 手动领先型,5.78,12.57,2015,7.09,1.6L,1,6
12872,现代 朗动 2016款 1.6L 自动尊贵型,7.18,13.87,2017,6.35,1.6L,0,4
12873,现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS,3.28,8.56,2014,7.95,1.4L,1,7
12874,现代 瑞纳 2014款 1.4L 手动智能型GLS,3.68,8.56,2014,8.13,1.4L,1,7
12875,现代ix35 2015款 2.0L 自动两驱智能型 国V,8.98,19.19,2017,4.85,2.0L,0,4
12876,现代 朗动 2016款 1.6L 自动尊贵型,7.0,13.87,2016,4.12,1.6L,0,5
12877,现代 朗动 2013款 1.6L 自动尊贵型,6.8,14.63,2014,8.0,1.6L,0,7
12878,现代 悦纳 2016款 1.4L 自动活力版SPORT,5.98,9.86,2018,2.8,1.4L,0,3
12879,现代ix25 2015款 1.6L 自动两驱智能型GLS,7.58,15.5,2017,8.23,1.6L,0,4
12880,现代 名图 2017款 1.8L 自动智能型GLS 国V,9.8,16.26,2018,5.57,1.8L,0,3
12881,现代 全新胜达 2013款 2.4L 自动两驱智能型,7.98,27.12,2014,13.8,2.4L,0,7
12882,现代 朗动 2012款 1.6L 自动时尚型,4.98,12.57,2013,8.9,1.6L,0,8
12883,现代 菲斯塔 2019款 280TGDi 运动版 国V,11.6,14.52,2019,1.4,1.6T,0,2
12884,现代 菲斯塔 2019款 280TGDi 智享版 国VI,11.98,15.61,2019,1.8,1.6T,0,2
12885,现代 朗动 2015款 1.6L 自动时尚型,6.68,12.57,2015,5.05,1.6L,0,6
